Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1,Geno Smith,34,SEA,QB,8,8,4/4/2000,212,308,68.8,2197,8,2.6,7,2.3,113,49.5,71,7.1,6.63,10.4,274.6,88.4,57.3,21,135,6.38,6.27,5.8,1,1,
2,Baker Mayfield,29,TAM,QB,8,8,4/4/2000,202,284,71.1,2189,21,7.4,9,3.2,115,54.6,55,7.7,7.76,10.8,273.6,104.9,55.8,20,121,6.58,6.8,6.85,0,0,
3,Kirk Cousins,36,ATL,QB,8,8,5/3/2000,185,271,68.3,2106,14,5.2,7,2.6,97,48.3,52,7.8,7.64,11.4,263.3,97.8,61.2,15,113,5.24,6.97,6.85,3,3,
4,Brock Purdy,25,SFO,QB,8,8,4/4/2000,156,242,64.5,2101,10,4.1,7,2.9,94,50.2,76,8.7,8.21,13.5,262.6,93.7,62.4,15,70,5.84,7.9,7.46,0,0,
5,Lamar Jackson,27,BAL,QB,8,8,5/3/2000,158,236,66.9,2099,17,7.2,2,0.8,102,51.6,59,8.9,9.95,13.3,262.4,115.4,74.9,12,83,4.84,8.13,9.14,1,1,
6,Joe Burrow,28,CIN,QB,8,8,3/5/2000,185,263,70.3,1993,15,5.7,3,1.1,102,51.8,70,7.6,8.21,10.8,249.1,106.5,75.4,19,109,6.74,6.68,7.27,0,0,
7,C.J. Stroud,23,HOU,QB,8,8,6/2/2000,177,266,66.5,1948,11,4.1,4,1.5,102,44.8,67,7.3,7.47,11,243.5,95.6,60.2,22,173,7.64,6.16,6.3,1,2,
8,Aaron Rodgers,41,NYJ,QB,8,8,2/6/2000,175,284,61.6,1896,12,4.2,7,2.5,93,44,57,6.7,6.41,10.8,237,85.1,50.4,18,136,5.96,5.83,5.58,0,1,
9,Dak Prescott,31,DAL,QB,7,7,3/4/2000,167,262,63.7,1845,10,3.8,8,3.1,81,46.1,65,7,6.43,11,263.6,84.5,47.5,18,105,6.43,6.21,5.64,1,1,
10,Trevor Lawrence,25,JAX,QB,8,8,2/6/2000,152,243,62.6,1835,11,4.5,4,1.6,87,47.9,85,7.6,7.72,12.1,229.4,93.9,65.7,16,126,6.18,6.6,6.75,0,1,
11,Josh Allen,28,BUF,QB,8,8,6/2/2000,143,223,64.1,1766,14,6.3,1,0.4,78,45.9,57,7.9,8.97,12.3,220.8,107.6,73.7,10,57,4.29,7.33,8.34,0,1,
12,Jayden Daniels,24,WAS,QB,8,8,6/2/2000,148,206,71.8,1736,7,3.4,2,1,84,49.3,66,8.4,8.67,11.7,217,104.3,72.7,17,91,7.62,7.38,7.6,2,2,
13,Daniel Jones,27,NYG,QB,8,8,2/6/2000,174,278,62.6,1706,6,2.2,5,1.8,84,41.9,43,6.1,5.76,9.8,213.3,79.5,44.6,25,145,8.25,5.15,4.81,0,0,
14,Jared Goff,30,DET,QB,7,7,6/1/2000,140,189,74.1,1695,13,6.9,4,2.1,80,51.5,70,9,9.39,12.1,242.1,115.3,52.8,17,139,8.25,7.55,7.94,2,2,
15,Matthew Stafford,36,LAR,QB,7,7,3/4/2000,157,232,67.7,1671,7,3,5,2.2,76,50.2,63,7.2,6.84,10.6,238.7,89.6,61.1,17,115,6.83,6.25,5.91,1,1,
16,Patrick Mahomes,29,KAN,QB,7,7,7-0-0,154,225,68.4,1651,8,3.6,9,4,86,51.5,54,7.3,6.25,10.7,235.9,84.9,67,12,70,5.06,6.67,5.64,1,2,
17,Kyler Murray,27,ARI,QB,8,8,4/4/2000,156,232,67.2,1638,11,4.7,3,1.3,77,51.4,60,7.1,7.43,10.5,204.8,98,74.4,11,64,4.53,6.48,6.83,3,3,
18,Sam Darnold,27,MIN,QB,7,7,5/2/2000,127,189,67.2,1610,14,7.4,5,2.6,71,43.3,97,8.5,8.81,12.7,230,107.2,58.7,21,138,10,7.01,7.27,0,0,
19,Jordan Love,26,GNB,QB,6,6,4/2/2000,124,201,61.7,1547,15,7.5,9,4.5,71,45.2,70,7.7,7.17,12.5,257.8,91.8,55.6,7,62,3.37,7.14,6.63,1,1,
20,Jalen Hurts,26,PHI,QB,7,7,5/2/2000,132,191,69.1,1544,8,4.2,4,2.1,70,46.9,67,8.1,7.98,11.7,220.6,98.6,69.3,18,127,8.61,6.78,6.68,1,2,
21,Bo Nix,24,DEN,QB,8,8,5/3/2000,165,261,63.2,1530,8,3.1,5,1.9,67,40.1,49,5.9,5.61,9.3,191.3,81.4,53.6,11,74,4.04,5.35,5.11,1,1,
22,Caleb Williams,23,CHI,QB,7,7,4/3/2000,140,223,62.8,1448,9,4,5,2.2,69,43.3,47,6.5,6.29,10.3,206.9,85.6,45.8,22,157,8.98,5.27,5.09,1,0,
23,Justin Herbert,26,LAC,QB,7,7,4/3/2000,127,196,64.8,1443,8,4.1,1,0.5,65,42.2,60,7.4,7.95,11.4,206.1,98.2,56,15,81,7.11,6.45,7,0,0,
24,Gardner Minshew II,28,LVR,QB,7,6,2/4/2000,138,204,67.6,1377,6,2.9,8,3.9,72,42.5,57,6.8,5.57,10,196.7,80,38.1,22,131,9.73,5.51,4.45,1,1,
25,Deshaun Watson,29,CLE,QB,7,7,1/6/2000,137,216,63.4,1148,5,2.3,3,1.4,49,33.3,35,5.3,5.15,8.4,164,79,22.8,33,191,13.25,3.84,3.7,0,0,
26,Justin Fields,25,PIT,QB,6,6,4/2/2000,106,160,66.3,1106,5,3.1,1,0.6,45,43.2,55,6.9,7.26,10.4,184.3,93.9,53.6,16,124,9.09,5.58,5.89,0,1,
27,Derek Carr,33,NOR,QB,5,5,2/3/2000,90,128,70.3,989,8,6.3,4,3.1,42,48.1,70,7.7,7.57,11,197.8,100.7,64.8,5,26,3.76,7.24,7.09,0,0,
28,Andy Dalton,37,CAR,QB,6,5,1/4/2000,106,160,66.3,989,7,4.4,6,3.8,50,40.7,39,6.2,5.37,9.3,164.8,82,54.9,7,37,4.19,5.7,4.92,0,0,
29,Anthony Richardson,22,IND,QB,6,6,3/3/2000,59,133,44.4,958,4,3,7,5.3,34,32.4,69,7.2,5.44,16.2,159.7,57.2,38.4,9,65,6.34,6.29,4.63,0,1,
30,Jacoby Brissett,32,NWE,QB,6,5,1/4/2000,94,159,59.1,828,2,1.3,1,0.6,41,36.2,50,5.2,5.18,8.8,138,74.6,44.7,18,119,10.17,4.01,3.98,1,1,
31,Tua Tagovailoa,26,MIA,QB,3,3,1/2/2000,68,100,68,717,3,3,3,3,34,46.7,80,7.2,6.42,10.5,239,86.1,36,5,32,4.76,6.52,5.81,1,1,
32,Joe Flacco,39,IND,QB,4,2,1/1/2000,71,108,65.7,716,7,6.5,1,0.9,37,43.9,65,6.6,7.51,10.1,179,102.2,73.7,6,49,5.26,5.85,6.68,1,1,
33,Will Levis,25,TEN,QB,5,5,1/4/2000,83,125,66.4,699,5,4,7,5.6,34,37.9,40,5.6,3.87,8.4,139.8,70.7,26,15,101,10.71,4.27,2.74,0,0,
34,Spencer Rattler,24,NOR,QB,3,3,0-3-0,59,99,59.6,571,1,1,2,2,23,30.1,41,5.8,5.06,9.7,190.3,70.7,35.5,14,73,12.39,4.41,3.79,0,0,
35,Mason Rudolph,29,TEN,QB,3,2,0-2-0,56,95,58.9,566,2,2.1,3,3.2,30,42,47,6,4.96,10.1,188.7,69.9,54,5,31,5,5.35,4.4,0,0,
36,Drake Maye,22,NWE,QB,4,3,1/2/2000,53,84,63.1,564,5,6,2,2.4,28,43,40,6.7,6.83,10.6,141,92.6,48.6,9,74,9.68,5.27,5.38,0,0,
37,Russell Wilson,36,PIT,QB,2,2,2-0-0,36,57,63.2,542,3,5.3,0,0,24,43.5,44,9.5,10.56,15.1,271,111.9,54.3,5,23,8.06,8.37,9.34,0,0,
38,Bryce Young,23,CAR,QB,5,3,0-3-0,61,102,59.8,523,2,2,5,4.9,24,33.3,35,5.1,3.31,8.6,104.6,59.4,19.3,9,52,8.11,4.24,2.58,0,0,
39,Aidan O'Connell,26,LVR,QB,4,2,0-2-0,52,82,63.4,455,2,2.4,2,2.4,25,48.2,30,5.5,4.94,8.8,113.8,76,47.3,3,28,3.53,5.02,4.44,0,0,
40,Jameis Winston,30,CLE,QB,6,1,1-0-0,33,53,62.3,417,4,7.5,0,0,21,48.2,38,7.9,9.38,12.6,69.5,111.9,83.1,3,15,5.36,7.18,8.61,1,1,
41,Malik Willis,25,GNB,QB,4,2,2-0-0,29,39,74.4,380,3,7.7,0,0,15,36.4,51,9.7,11.28,13.1,95,130.3,88.1,5,16,11.36,8.27,9.64,0,1,
42,Tyler Huntley,26,MIA,QB,3,3,1/2/2000,39,66,59.1,377,1,1.5,1,1.5,19,34.2,25,5.7,5.33,9.7,125.7,73.9,22.1,7,45,9.59,4.55,4.21,1,1,
43,Marcus Mariota,31,WAS,QB,2,0,,19,26,73.1,203,2,7.7,0,0,12,48.1,25,7.8,9.35,10.7,101.5,121.2,54.6,1,4,3.7,7.37,8.85,0,0,
44,Skylar Thompson,27,MIA,QB,2,1,0-1-0,21,33,63.6,187,0,0,0,0,8,38.5,22,5.7,5.67,8.9,93.5,78.7,4,6,44,15.38,3.67,3.67,0,0,
45,Jake Haener,25,NOR,QB,5,0,,14,29,48.3,177,1,3.4,0,0,8,38.7,36,6.1,6.79,12.6,35.4,79.2,51.6,2,16,6.45,5.19,5.84,0,0,
46,Tim Boyle,30,MIA,QB,2,0,,15,26,57.7,153,0,0,0,0,7,40.7,30,5.9,5.88,10.2,76.5,74.7,23.4,1,9,3.7,5.33,5.33,0,0,
47,Dorian Thompson-Robinson,25,CLE,QB,1,0,,11,24,45.8,82,0,0,2,8.3,3,24,16,3.4,-0.33,7.5,82,19.8,13.7,1,3,4,3.16,-0.44,0,0,
48,Davis Mills,26,HOU,QB,2,0,,7,13,53.8,79,0,0,0,0,4,28.6,25,6.1,6.08,11.3,39.5,72.3,87.8,1,7,7.14,5.14,5.14,0,0,
49,Cooper Rush,31,DAL,QB,3,0,,9,14,64.3,52,0,0,1,7.1,4,35.7,15,3.7,0.5,5.8,17.3,41.4,7.9,0,0,0,3.71,0.5,0,0,
50,Tyrod Taylor,35,NYJ,QB,1,0,,6,8,75,36,1,12.5,0,0,3,75,9,4.5,7,6,36,122.9,96.2,0,0,0,4.5,7,0,0,
51,Jaxon Smith-Njigba,22,SEA,WR,8,8,,1,1,100,35,0,0,0,0,1,100,35,35,35,35,4.4,118.7,100,0,0,0,35,35,0,0,
52,Mac Jones,26,JAX,QB,2,0,,6,9,66.7,28,0,0,0,0,1,27.3,9,3.1,3.11,4.7,14,70.6,4.2,2,27,18.18,0.09,0.09,0,0,
53,Courtland Sutton,29,DEN,WR,8,6,,1,1,100,28,0,0,0,0,1,100,28,28,28,28,3.5,118.7,100,0,0,0,28,28,0,0,
54,Hendon Hooker,26,DET,QB,2,0,,3,5,60,25,0,0,0,0,1,16.7,19,5,5,8.3,12.5,72.9,7,1,9,16.67,2.67,2.67,0,0,
55,Taylor Heinicke,31,LAC,QB,1,0,,2,2,100,24,0,0,0,0,1,20,18,12,12,12,24,116.7,5.8,3,28,60,-0.8,-0.8,0,0,
56,Adonai Mitchell,22,IND,WR,8,4,,1,1,100,24,0,0,0,0,1,100,24,24,24,24,3,118.7,67.2,0,0,0,24,24,0,0,
57,Nick Mullens,29,MIN,QB,2,0,,1,1,100,24,0,0,0,0,1,100,24,24,24,24,12,118.7,100,0,0,0,24,24,0,0,
58,Kyle Allen,28,PIT,QB,1,0,,1,1,100,19,0,0,0,0,1,100,19,19,19,19,19,118.7,99.3,0,0,0,19,19,0,0,
59,Jack Fox,28,DET,P,7,0,,1,1,100,17,0,0,0,0,1,100,17,17,17,17,2.4,118.7,,0,0,0,17,17,0,0,
60,Michael Penix,24,ATL,QB,1,0,,1,1,100,14,0,0,0,0,1,100,14,14,14,14,14,118.7,96.1,0,0,0,14,14,0,0,
61,Stefon Diggs,31,HOU,WR,8,8,,1,1,100,13,0,0,0,0,1,100,13,13,13,13,1.6,118.7,13,0,0,0,13,13,0,0,
62,Amon-Ra St. Brown,25,DET,WR,7,7,,1,1,100,7,1,100,0,0,1,100,7,7,27,7,1,135.4,99.6,0,0,0,7,27,0,0,
63,Drew Lock,28,NYG,QB,2,0,,3,8,37.5,6,0,0,0,0,0,11.1,5,0.8,0.75,2,3,45.8,6.5,1,6,11.11,0,0,0,0,
64,Mitchell Trubisky,30,BUF,QB,5,0,,2,3,66.7,5,0,0,0,0,0,,3,1.7,1.67,2.5,1,70.1,2.2,0,0,0,1.67,1.67,0,0,
65,Riley Dixon,31,DEN,P,8,0,,1,1,100,3,0,0,0,0,0,,3,3,3,3,0.4,79.2,,0,0,0,3,3,0,0,
66,Taysom Hill,34,NOR,TE,4,4,,1,1,100,3,0,0,0,0,0,,3,3,3,3,0.8,79.2,78.6,0,0,0,3,3,0,0,
67,David Montgomery,27,DET,RB,7,7,,1,1,100,3,1,100,0,0,1,100,3,3,23,3,0.4,118.7,100,0,0,0,3,23,0,0,
68,Josh Johnson,38,BAL,QB,2,0,,1,1,100,1,0,0,0,0,0,,1,1,1,1,0.5,79.2,0.7,0,0,0,1,1,0,0,
69,Tutu Atwell,25,LAR,WR,7,4,,0,1,0,0,0,0,0,0,0,,,0,0,,0,39.6,1.9,0,0,0,0,0,0,0,
70,Ty Chandler,26,MIN,RB,7,0,,0,0,,0,0,,0,,0,,,,,,0,,1.4,1,1,100,-1,-1,0,0,
71,Johnny Hekker,34,CAR,P,8,0,,0,2,0,0,0,0,0,0,0,,,0,0,,0,39.6,,0,0,0,0,0,0,0,
72,Darnell Mooney,27,ATL,WR,8,8,,0,1,0,0,0,0,0,0,0,,,0,0,,0,39.6,4.2,0,0,0,0,0,0,0,
73,Malik Nabers,21,NYG,WR,6,5,,0,1,0,0,0,0,0,0,0,,,0,0,,0,39.6,2.8,0,0,0,0,0,0,0,
74,Kenny Pickett,26,PHI,QB,1,0,,0,1,0,0,0,0,0,0,0,,,0,0,,0,39.6,1.3,1,8,50,-4,-4,0,0,
75,Deebo Samuel,28,SFO,WR,7,7,,0,0,,0,0,,0,,0,,,,,,0,,,1,4,100,-4,-4,0,0,
